caseid,Trip number,Purpose_category,Date,Day of week,Start time - first hour,Main mode,Distance (km),Travel Time (minutes),Distance (miles) - rounded,Distance category,Origin eastings,Origin northings,Destination eastings,Destination northings,Travel time source (stated / calculated),Weight_2,trip_number_numeric,potential_duplicate_flag,date_day_mismatch_flag,distance_category_zero_flag,distance_category_review_flag,zero_distance_flag,mode_distance_review_flag,trip_internal_gap_flag,trip_starts_above_1_flag,valid_distance,distance_analysis_valid,valid_travel_time,travel_time_source,valid_od_geometry,same_origin_destination_flag,od_straight_line_km,reported_to_straight_line_ratio,spatial_distance_review_flag,origin_lta,destination_lta,od_scope,mode_group,distance_band,distance_band_order,start_hour,time_band,day_type,is_car_van,is_car_driver,is_car_passenger,is_active_wheeling,is_public_transport,is_short_trip,is_mid_distance_trip,is_short_car,is_mid_car,is_mid_public_transport,respondent_trip_count,validated_chain_member,short_car_chain_status,ModeKey,PurposeKey,DistanceKey,DateKey,TimeKey,OriginLTAKey,DestinationLTAKey
6409985436,$trip4pipe,other,2024-11-19,Tuesday,17.0,Car/ van (as the driver),2.389072,4.463649,1.5,2,445796.0,130343.0,446849.0,132053.0,stated,1.3116695457005805,4,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.008210397343864,1.1896522411993675,False,Hampshire,Hampshire,Within same LTA,Car / van,1 to <2 miles,2,17.0,15:00-19:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,5,2.0,20241119.0,18.0,4.0,4.0
6409985436,$trip5pipe,leisure,2024-11-19,Tuesday,19.0,Car/ van (as the driver),1.870526,3.776387,1.0,2,445796.0,130343.0,446372.0,131193.0,stated,1.3116695457005805,5,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,1.026779431036676,1.8217408174133805,False,Hampshire,Hampshire,Within same LTA,Car / van,1 to <2 miles,2,19.0,19:00-24:00,Weekday,True,True,False,False,False,True,False,True,False,False,5,False,Not identified in validated chain,2.0,4,2.0,20241119.0,20.0,4.0,4.0
6410567630,$trip1pipe,personal business,2024-11-22,Friday,9.0,Car/ van (as the driver),3.67754,7.665767,2.0,3,437234.0,122753.0,435057.0,121196.0,stated,1.3116695457005805,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.6764861292373627,1.374017955791864,False,Hampshire,Hampshire,Within same LTA,Car / van,2 to <5 miles,3,9.0,06:00-10:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,True,Part of validated chain,2.0,6,3.0,20241122.0,10.0,4.0,4.0
6410567630,$trip2pipe,shopping,2024-11-22,Friday,10.0,Car/ van (as the driver),0.626993,2.532316,0.0,1,435057.0,121196.0,435413.0,121298.0,stated,1.3116695457005805,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,0.3703241823051797,1.6930922417680585,False,Hampshire,Hampshire,Within same LTA,Car / van,Under 1 mile,1,10.0,10:00-15:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,True,Part of validated chain,2.0,7,1.0,20241122.0,11.0,4.0,4.0
6415469960,$trip2pipe,leisure,2024-11-24,Sunday,11.0,Walking,3.270065,39.24078,2.0,3,468233.0,99564.0,465371.6132,99018.0631,stated,1.2059533192153984,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.9130021486424837,1.1225755537200397,False,Portsmouth,Portsmouth,Within same LTA,Active / wheeling,2 to <5 miles,3,11.0,10:00-15:00,Weekend,False,False,False,True,False,True,False,False,False,False,5,True,,15.0,4,3.0,20241124.0,12.0,9.0,9.0
6415469960,$trip1pipe,leisure,2024-11-24,Sunday,9.0,Car/ van (as the driver),109.694703,83.263645,70.0,7,498585.0,176982.0,468233.0,99564.0,stated,1.2059533192153984,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,83.15522008869918,1.3191559457481077,False,Windsor and Maidenhead,Portsmouth,Between TfSE LTAs,Car / van,50 to <100 miles,7,9.0,06:00-10:00,Weekend,True,True,False,False,False,False,False,False,False,False,5,True,,2.0,4,7.0,20241124.0,10.0,16.0,9.0
6415469960,$trip3pipe,other,2024-11-24,Sunday,1.0,Car/ van (as the driver),102.304177,74.811766,65.0,7,465371.6132,99018.0631,487046.0,168833.0,stated,1.2059533192153984,3,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,73.10201404548985,1.3994713871540974,False,Portsmouth,Bracknell Forest,Between TfSE LTAs,Car / van,50 to <100 miles,7,1.0,00:00-06:00,Weekend,True,True,False,False,False,False,False,False,False,False,5,True,,2.0,5,7.0,20241124.0,2.0,9.0,1.0
6415469960,$trip4pipe,leisure,2024-11-24,Sunday,2.0,Car/ van (as the driver),18.450768,22.671648,10.0,5,487046.0,168833.0,498585.0,176982.0,stated,1.2059533192153984,4,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,14.126383896808129,1.306121094738829,False,Bracknell Forest,Windsor and Maidenhead,Between TfSE LTAs,Car / van,10 to <25 miles,5,2.0,00:00-06:00,Weekend,True,True,False,False,False,False,True,False,True,False,5,True,,2.0,4,5.0,20241124.0,3.0,1.0,16.0
6415469960,$trip5pipe,shopping,2024-11-24,Sunday,3.0,Car/ van (as the driver),18.016045,21.76432,10.0,5,498585.0,176982.0,487046.0,168833.0,stated,1.2059533192153984,5,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,14.126383896808129,1.2753472602475957,False,Windsor and Maidenhead,Bracknell Forest,Between TfSE LTAs,Car / van,10 to <25 miles,5,3.0,00:00-06:00,Weekend,True,True,False,False,False,False,True,False,True,False,5,True,,2.0,7,5.0,20241124.0,4.0,16.0,1.0
6416585802,$trip1pipe,leisure,2024-11-22,Friday,9.0,Car/ van (as a passenger),330.221548,198.522507,205.0,8,446316.0,130214.0,429002.0,412391.0,stated,1.3116695457005805,1,False,False,False,False,False,True,False,False,True,False,True,stated,True,False,282.70768281919754,1.168067116913796,False,Hampshire,Outside TfSE,Outbound,Car / van,100+ miles,8,9.0,06:00-10:00,Weekday,True,False,True,False,False,False,False,False,False,False,3,True,,1.0,4,8.0,20241122.0,10.0,4.0,8.0
6416585802,$trip2pipe,personal business,2024-11-22,Friday,14.0,Car/ van (as a passenger),225.791342,135.677156,140.0,8,429002.0,412391.0,517257.0,249260.0,stated,1.3116695457005805,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,185.4741712099019,1.2173735055781485,False,Outside TfSE,Outside TfSE,Outside-to-outside,Car / van,100+ miles,8,14.0,10:00-15:00,Weekday,True,False,True,False,False,False,False,False,False,False,3,True,,1.0,6,8.0,20241122.0,15.0,8.0,8.0
6416585802,$trip3pipe,other,2024-11-22,Friday,18.0,Car/ van (as a passenger),177.963711,119.333023,110.0,8,517257.0,249260.0,446316.0,130214.0,stated,1.3116695457005805,3,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,138.58057438544554,1.2841894456651255,False,Outside TfSE,Hampshire,Inbound,Car / van,100+ miles,8,18.0,15:00-19:00,Weekday,True,False,True,False,False,False,False,False,False,False,3,True,,1.0,5,8.0,20241122.0,19.0,8.0,4.0
6418780620,$trip1pipe,other,2024-11-18,Monday,12.0,Car/ van (as the driver),0.0,0.0,0.0,0,625706.0,147911.0,625706.0,147911.0,stated,1.0788838538549108,1,False,False,True,False,True,False,False,False,False,False,False,stated,True,True,0.0,,False,Kent,Kent,Within same LTA,Car / van,,0,12.0,10:00-15:00,Weekday,True,True,False,False,False,False,False,False,False,False,1,False,,2.0,5,,20241118.0,13.0,6.0,6.0
